Type,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Average
Nuts,0,0,0,0,0,349.4149089858422,30.357458572415901,-26.700737936859234,32.007266732829812,-17.055952699517057,24.399311743378611,6.4168745523254422,-81.09086689102935,276.31336688351541,-18.685834971011065,103.07266491506049,-31.481481481481481,-36.846846846846844,-1.5691868758915835,46.521739130434781,-21.661721068249257,21.161616161616163,-13.418924551896627,-26.236832476361045,72.456465551001216,126.2258538210004,-33.662125696160388,8.8583461528762069,35.225271975832591,-86.993496748374184,-100.0,-100.0,-49.420442571127509,4679.5859375,-74.529261545821242,-30.850517669205104,15.963944069789038,566.28655947522395
Non-dairy milk,0,0,0,0,0,1775.0,-46.666666666666664,84.999999999999986,4.0540540540540659,3.8961038961038885,-61.25,-90.322580645161295,66.666666666666671,1663.2225705329154,-31.900125873827491,-77.192982456140342,-38.46153846153846,137.81622023809524,-72.311302307391472,63.27683615819209,372.09342560553625,43.907355150804428,-54.87419782010798,46.907449209932274,-40.012292562999384,268.95491803278691,23.542071646764782,-36.95701039617871,8.9272184338369751,-90.139116202945985,-100.0,-100.0,-43.983402489626556,3121.4814814814813,-13.773281214072201,-74.63333333333334,48.199737187910642,1153.0059757053291
Food supplements,0,0,0,0,0,297.6456383942047,-5.09943828753606,-43.729903536977488,46.226012793176977,45.387382132788943,-37.068734955870546,29.451763705907354,-85.899540380827318,271.46391152502906,99.373212676773605,-45.977914881911417,-42.336509783952863,66.834868172070131,42.336483931947079,-39.826816829579258,-20.429063300079463,54.554532342172429,76.022972002871498,-35.644371941272432,142.71229404309253,14.861618798955609,-19.294417166757587,44.082356917530419,-32.76708044179454,-97.732096647573627,-100.0,-100.0,217.94871794871796,5268.7903225806449,-66.364832589788648,-0.65659389048022443,34.210442276480087,385.6840532466797
Vegetables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857.3761611459986,-53.498197137807871,-29.644166968776322,69.457716988653331,1734.9414621411233
Pasta,0,0,0,0,0,1800.0,-21.052631578947373,33.333333333333336,-20.000000000000004,0.0,-24.999999999999996,-75.0,-100.0,871.95704057279238,-38.121546961325969,-25.0,-14.603174603174606,164.13672036348618,-36.635521326087812,-31.657206317867715,137.69973819626253,26.175465248765661,-8.8555776292817967,-54.557463672391016,91.002906976744171,55.239327296248398,8.6764705882352935,-12.135769057284618,-27.308195795579973,-71.963276836158187,-100.0,-100.0,-100.0,318.38790931989922,17.308850090307043,-63.0228380805748,482.58261471200552,2456.9814841139619
General,-49.162011173184361,45.054945054945058,19.696969696969695,62.025316455696199,-86.71875,29.411764705882351,-52.272727272727273,-33.333333333333336,0.0,50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.666666666666671,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1957.1428571428571,62.5,3.8461538461538463,38.271604938271608,-11.61904761904762,1.7780172413793165,-86.10375860243515,-100.0,-100.0,50.0,2562.4603174603176,-44.917580922288131,-44.033877381689045,47.365736332535562,95.735558052242183
Seeds,0,0,0,0,0,0,149.99999999999997,0.0,-59.999999999999993,-50.0,-100.0,-100.0,-100.0,667.22338204592916,-57.142857142857146,0.0,-65.079365079365076,600.0,-100.0,-85.714285714285708,1060.0,-54.545454545454547,220.86206896551724,0.59108006448146155,-4.2147435897435948,203.27672745524515,-20.018462483369525,9.5400787227781176,-49.983838400799264,-55.937153791922647,-100.0,-100.0,-62.761904761904759,4920.0572890025569,-47.757660013865603,-71.541164372420369,-34.738688407293331,1078.5890471075495
Fruits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544.0550458715597,-47.989864747642279,-27.508478910965565,50.491651474935843,1629.0872389334863
Rice,0,0,0,0,0,155.58838010832102,-7.3974186091311953,-15.602246723528188,43.776189302440216,10.886336362077834,-20.555040197897331,-80.77259900749246,-9.615384615384615,967.58118701007845,-24.980332511669371,-8.8296979865771927,-22.70531400966183,-11.517857142857144,-33.860298239712975,-19.494829632141041,149.39987365761218,198.2269503546099,-19.710095691070716,17.366008462623412,-38.711131140153221,52.450980392156865,3.8585209003215435,-19.938080495356036,8.8940448569218873,-77.450284090909093,-100.0,-100.0,-69.763779527559052,2488.28125,-11.262702485159469,-33.771310172796959,-1.4146747324438913,422.74579337456919
Chemical free poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.75,111.76470588235294,-28.703703703703702,-50.649350649350652,190.28449502133714,0.17150977605723525,86.804128754524996,-86.526652089089069,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,303.76238738738738
Fresh veal,0,0,0,0,0,-25.0,133.33333333333334,-28.571428571428573,-53.333333333333336,85.714285714285708,15.384615384615385,6.666666666666667,-50.0,162.5,-57.142857142857146,22.222222222222221,9.0909090909090917,25.0,-46.666666666666664,-25.0,116.66666666666667,61.53846153846154,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,57.291666666666664
Baking products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.4606741573034,-22.823323103901796,19.73131106566689,167.5649389159056,1655.7233146067415
Delivery,0,0,0,0,0,319.64285714285717,25.106382978723403,7.8231292517006805,-14.195583596214512,4.0441176470588234,2.4734982332155475,-43.793103448275865,-46.012269938650306,212.27272727272728,-22.489082969432314,23.004694835680752,-31.773938015267177,20.278184487114562,-21.395348837209301,7.1005917159763312,17.679558011049725,30.046948356807512,27.797833935018051,-55.367231638418076,-73.417721518987335,-50.0,-33.333333333333336,200.0,-16.666666666666668,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,256.22501575892858
Sweeteners,0,0,0,0,0,1363.6871508379888,-38.396946564885496,109.54151177199503,38.409225310467193,-21.585131382183295,-3.9448591510924693,-22.979182029610296,-31.12387685962587,-14.667985457656117,-17.070267222204805,-33.333333333333343,25.0,600.63463281958298,-60.429606625258792,-52.400261608894702,-100.0,-43.583402033525694,220.26302971261566,-76.42585551330798,98.387096774193552,172.35772357723576,170.74626865671641,33.847850055126791,-13.014827018121911,-84.943181818181813,-100.0,-100.0,181.1320754716981,1393.5123042505593,-44.91461243259436,-79.045606018322985,261.79697122418202,3959.9901208100555
