Product,CAGR,Period,CMGR
Black radish root powder,,30,1.3607250893419964
Black sesame gomasio / 100g,,33,4.210396594329091
Blackberries,,23,8.29666815305863
Blackberries ( frozen ),,20,23.9570559927484
Blue agave syrup,,28,9.764214061021747
Blue agave syrup (Raw) - organic,,5,26.860365757837922
Blueberries,,23,7.517306441696037
Blueberries ( frozen ),,16,24.29263478957666
Blueberry juice,,20,15.599867167878113
Bob's Red Mill Bag Clip Red,,36,1.9440643702144822
Bob's baking book,,30,0.0
Bob's cooking book,,30,2.3373891996774976
Body butter with vanilla,,5,24.57309396155174
Body butter with white musk and brown sugar,,5,0.0
Body lotion with green tea & lemon grass,,5,17.607902252467355
Body massage Oil (lavander),,5,14.869835499703509
Body massage oil with red rose effect,,5,0.0
Body oil with coconut (healing),,5,0.0
Body scrub with coffee & vanilla (anti-cellulite),,5,20.11244339814313
Bolti fillet (chemical free) - frozen,,5,0.0
Bolti fillet(chemical free),,13,10.181497190627242
Brain booster seed mix (milled),,16,22.284454499385188
Breadcrumbs (gluten free),,5,17.607902252467355
Breadsticks ( gluten free ),,20,15.201970734512615
Breath Lavender(Body/Massage Oil),,10,0.0
Broccoli,,33,10.846640309321565
Broccoli (chemical free),,6,79.14006898780784
Broccoli / 1 kg,,38,0.0
Broccoli Romanesco,,9,0.0
Broccoli Romanesco (chemical free),,1,
Broccoli powder,,31,5.328868672729037
Broccoli(chemical free),,12,19.54846925480318
Brown rice ( Egyptian ),,5,18.248956314679997
Brown rice ( Egyptian ) / 750g,,33,10.594558677313115
Brown rice (short grain) - Egyptian,,6,48.7768046238646
Brown rice Penne ( American ) - gluten free - organic / 340g,,33,9.50917063951946
Brown rice Penne ( American ) - gluten free - organic 340g,,5,33.71954958756718
Brown rice cakes (organic) - gluten free,,5,18.466445254224407
Brown rice cakes / 247g,,33,11.341582708502518
Brown rice cakes with flax and tamari (organc) - gluten free,,5,27.99260967692556
Brown rice couscos - organic (gluten free),,2,73.20508075688772
Brown rice cracker / 75g,,33,6.914052074205856
Brown rice flour ( Gluten free ),,13,23.69797638393294
Brown rice rotini ( American ) - gluten free - organic / 284g,,33,8.815025223433004
Brown rice rotini ( American ) - gluten free - organic 284g,,3,90.85387027475986
Brown rice spaghetti ( American ) - gluten free - organic / 284g,,34,15.71025776326076
Brown rice spaghetti ( American ) - gluten free - organic 284g,,5,38.463023870454904
Brown sugar,,5,26.58337541579836
Brown sugar ( cubes ),,19,3.7155044446191887
Brown sugar / 750g,,34,15.337555188706942
Brown sugar / 793g,,33,0.0
Brown sugar 750g 750g / 500g,,6,0.0
Brownie mix ( gluten free ) / 595g,,33,3.38516372166493
Brownie mix ( gluten free ) 595g,,2,100.0
Brussels sprouts,,33,9.918348530685783
Brussels sprouts (chemical free),,5,0.0
Buckwheat ( hulled ) - organic / 454g,,32,10.939928527740106
Buckwheat ( hulled ) - organic 454g,,5,39.265057341456135
Buckwheat Noodles,,20,11.612317403390438
Bulgur (golden),,5,24.57309396155174
Burdock Root (organic),,2,73.20508075688772
Burdock root powder,,31,3.6074555572293887
Burger Bun,,25,0.0
Butterhead lettuce,,32,0.0
Butterhead lettuce ( aquaponic ),,17,0.0
Cabbage,,16,11.242993774239963
Cabbage Pak Choi / 500g,,37,2.1538330578743325
Cairo,,15,22.389510549644175
Cairo above 150 L.E orders,,15,27.52496659347152
Cairo delivery fee,,38,3.8887496803618804
Camel milk (frozen),,16,21.56775430133713
Canadian Angus beef bacon,,19,3.7155044446191887
Canadian Angus beef fillet,,18,0.0
Capsicum (roumy),,34,8.967820263176574
Caramel cookies (animal shaped) - gluten free,,5,20.11244339814313
Caraway ( chemical free ),,13,8.818224346331682
Cardamoms,,12,17.60474285795146
Carrot ( Chemical free ),,13,2.6220339705550266
Carrot (chemical free),,1,0.0
Carrot cake (Gluten free) - traces of gluten,,5,29.58360311037871
Carrots,,17,5.883396496317972
Cauliflower,,36,12.687878833375166
Cayenne Pepper,,20,19.003103868746173
Cayenne pepper - colored ( Chemical free ),,12,0.0
Cayenne pepper - red ( Chemical free ),,12,0.0
Cayenne pepper green(chemical free),,12,0.0
Celery ( aquaponic ),,17,0.0
Celery (chemical free),,5,14.86218159268593
Celery Salt,,20,14.603811311030368
Celery salt,,1,0.0
Celery(chemical free),,11,0.0
Cereal Bisco,,22,0.0
Chemical free lamb leg,,36,1.871919694430435
Cherries,,15,18.254273318345817
Cherry & heirloom tomatoes ( aquaponic ),,17,0.0
Cherry carrots (chemical free),,6,50.702099274231195
Cherry colored tomatoes (chemical free),,4,58.1402968247889
Cherry jam,,16,0.0
Cherry jam (natural),,6,16.49930507507129
Cherry tomato (chemical free),,6,85.31440115813977
Cherry tomato jam,,2,0.0
Cherry tomatoes,,29,6.905728025408697
Cherry tomatoes ( Chemical free ),,19,18.377447644564924
Cherry tomatoes ( chemical free ),,18,26.494022636611003
Cherry tomatoes (chemical free),,10,0.0
Chestnut (abou farwa) / 500g,,38,1.8408093274101978
Chestnuts,,29,0.0
Chia seeds (organic),,10,45.52664070403238
Chicken Breast,,25,0.0
Chicken Breasts (chemical free),,12,12.587935679388163
Chicken Breasts (chemical free) - frozen,,4,0.0
Chicken Breasts / 1kg,,38,12.749572616693271
Chicken Cutlets (Shishtawook) / 1kg,,37,15.007260525831523
Chicken Cutlets (Shishtawook-chemical free),,12,21.152765862858836
Chicken Cutlets - Shishtawook (chemical free) - frozen,,5,0.0
Chicken Liver,,12,7.934843806377612
Chicken Liver (chemical free),,12,5.946309435929531
Chicken breast - frozen,,6,179.34754548900028
Chicken breasts 1kg / 1kg,,6,0.0
Chicken burger (frozen),,1,0.0
Chicken cutlets (Shishtawook) - frozen,,5,21.75670269112746
Chicken drumsticks (frozen),,4,26.64553296226224
Chicken liver (frozen),,5,32.963289679397676
Chicken masala,,5,0.0
Chicken nuggets (Frozen),,3,47.361259945615465
Chicken strips (Frozen),,3,70.99759466766969
Chicken thigh (frozen),,5,34.469239642326535
Chicken wings (frozen),,4,36.06817149866857
