Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Avocadoes ( imported ),ImportedAvocadoes,,NGS,Agrovate,Fresh fruits,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,259.000000,638.000000,725.000000,1392.000000,1485.300000,1512.000000,2115.000000,1376.000000,240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9742.300000,7457.800000,2284.500000,0.234493,0.000000
Almond milk ( organic ) / 946ml,065009PacificOrg,,Pacific Natural Foods,Hv,Non-dairy milk,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.700000,1276.000000,638.000000,1276.000000,1307.900000,1467.400000,287.100000,0.000000,0.000000,1905.140000,1008.000000,0.000000,0.000000,67.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9418.840000,7723.400000,1695.440000,0.180005,0.000000
Coconut oil ( Small glass jar ),281015,,,Hv,Oil,"Super food, Weight loss, Oil",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,472.000000,1080.000000,300.000000,1500.000000,1000.000000,2870.642334,2090.337838,100.000000,9412.980172,7113.000000,2299.980172,0.244341,0.000000
Kale / Default,Kale,,NGS,MAKAR,Fresh vegetables,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262.500000,1202.500000,988.000000,950.000000,1691.000000,798.000000,1007.000000,915.000000,1221.000000,168.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9203.000000,7140.000000,2063.000000,0.224166,0.000000
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,540.000000,1320.000000,1600.000000,1600.000000,1860.000000,1610.000000,410.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8940.000000,0.000000,8940.000000,1.000000,0.000000
Raw almonds - shelled / 250g,AlmondsRawShelled,,NGS,Auf,Nuts,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.100000,408.600000,295.100000,405.000000,324.000000,297.000000,405.060000,441.900000,88.380000,382.980000,325.680000,420.000000,340.000000,140.000000,140.000000,315.000000,140.000000,282.000000,366.040000,171.060000,342.120000,627.215000,427.650000,521.280000,907.540000,188.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8769.805000,6297.910000,2471.895000,0.281864,0.000000
Beef escalope (chemical free) - frozen,151002,,,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2436.000000,1530.800000,434.000000,0.000000,558.000000,2418.579090,848.552700,359.798083,8585.729874,6402.990000,2182.739874,0.254229,0.000000
Balady eggs ( chemical free ),Eggbaldy,,NGS,Sara nour,Eggs,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.000000,357.000000,714.000000,882.000000,819.000000,756.000000,483.000000,220.000000,330.000000,1518.000000,1936.000000,242.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8299.000000,6562.000000,1737.000000,0.209302,0.000000
Coconut flour (Organic),281014,,,Hv,Baking products,"Weight loss, gluten free, Vegan, Baking Products",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,850.000000,892.500000,229.500000,1870.000000,1785.000000,926.778689,1478.636258,0.000000,8032.414946,6154.000000,1878.414946,0.233854,0.000000
Cairo,Cairo,,Freight,Freight,General,,0.000000,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,720.000000,1170.000000,1215.000000,1680.000000,1440.000000,1500.000000,210.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8015.000000,0.000000,8015.000000,1.000000,0.000000
