Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
APPLE CIDER VINEGAR ( ORGANIC ) / 473G,"Eden Foods, Inc.",Vinegar,6313.1,1827.54,14.51594509057399,40.0,0.2804303370988705,1214.2495321019405,308.7999375010789,419.91784498130596,0.31921255014384897
APPLE CINNAMON BROWN RICE CAKES / 269G,Lundberg Family Farms,Snacks,1114.25,180.3,4.978832674529765,39.0,0.049495414790264126,1214.2495321019405,308.7999375010789,-8.235500978850302,0.031492620019773016
APPLE CINNAMON NO FAT GRANOLA / 340G,Bob's Red Mill,Cereal,198.0,36.0,1.0711857070128339,27.0,0.008795236372871705,1214.2495321019405,308.7999375010789,-83.69363176469587,0.006288043930736708
APPLES (SUKARY),Kheir Misr,Fresh fruits,3194.56,548.74,8.644370229564458,39.0,0.1419035874107123,1214.2495321019405,308.7999375010789,163.0892510594606,0.09584725629312392
APPRICOT,NGS,Fresh fruits,219.25,47.26,11.1089310906457,21.0,0.009739169569455157,1214.2495321019405,308.7999375010789,-81.94357961823015,0.008254804337961578
APPRICOT,NGS,Fruits,429.9,148.28,9.10223017993117,10.0,0.01909632382170478,1214.2495321019405,308.7999375010789,-64.59541563455934,0.02589975427915664
APRICOT JAM (NATURAL),0,Jam,120.0,30.0,0.0,7.0,0.005330446286588912,1214.2495321019405,308.7999375010789,-90.11735258466416,0.005240036608947256
ARGAN OIL HAIR CONDITIONER,Healing Herbs,Cosmetics,300.0,60.0,4.252909035790653,22.0,0.01332611571647228,1214.2495321019405,308.7999375010789,-75.29338146166039,0.010480073217894513
ARTICHOKE,NGS,Fresh vegetables,117.0,26.91,3.236835905539004,37.0,0.005197185129424189,1214.2495321019405,308.7999375010789,-90.36441877004755,0.004700312838225689
ARUGULA ( AQUAPONIC ),Bustan,Aquaponic vegetables,68.75,13.75,3.3397988121206534,24.0,0.003053901518358231,1214.2495321019405,308.7999375010789,-94.33806658496384,0.0024016834457674927
ARUGULA ( CHEMICAL FREE ),NGS,Fresh vegetables,104.0,21.06,2.93729260755089,19.0,0.004619720115043724,1214.2495321019405,308.7999375010789,-91.43503890670894,0.0036785056994809743
ARUGULA - CHEMICAL FREE (AQUAPONIC),0,Vegetables,24.0,8.0,0.0,5.0,0.0010660892573177824,1214.2495321019405,308.7999375010789,-98.02347051693283,0.0013973430957192683
ARUGULA(CHEMICAL FREE),0,Chemical free vegetables,330.0,75.0,9.353242956045982,18.0,0.014658727288119509,1214.2495321019405,308.7999375010789,-72.82271960782643,0.013100091522368141
ARUGULA(CHEMICAL FREE),0,Vegetables,1221.1264130000002,442.976413,35.10991593717754,12.0,0.05424290628026241,1214.2495321019405,308.7999375010789,0.5663482436065139,0.07737375403400464
ASHWAGANDHA ROOT,"Starwest Botanicals,Inc.",Herbs,329.0,45.5,5.116085748750132,39.0,0.014614306902397935,1214.2495321019405,308.7999375010789,-72.90507500295423,0.00794738885690334
ASPARAGUS (CHEMICAL FREE),0,Chemical free vegetables,1052.8,282.8,2.851291350576335,17.0,0.04676578208767339,1214.2495321019405,308.7999375010789,-13.296240009453536,0.04939607843367614
