HOT DOG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5
LENTILS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,328.5
MESCLUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,16.0,11.0,10.0,27.0,43.0,27.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,1124.550048828125
ORANGES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,13.0,12.0,11.0,18.0,4.0,6.0,12.0,8.0,11.0,7.0,5.0,10.0,25.0,20.0,24.0,7.0,1.0,6.0,10.0,11.0,10.0,15.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,270.0,2811.47998046875
PAPRIKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,167.6999969482422
PARSLEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,10.0,9.0,10.0,4.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,148.0
PUMPKIN,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,4.0,2.0,1.0,2.0,7.0,5.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1266.6199703216553
REVENUE,728.530029296875,4693.53515625,1595.625,28398.75,10560.9501953125,16641.5390625,21394.599609375,30732.509765625,10578.4697265625,38287.140625,36890.1015625,41131.26171875,31963.41015625,38493.98046875,34543.5703125,20186.939453125,10399.9501953125,41651.33203125,30036.2890625,31093.140625,23292.8203125,27136.349609375,20499.490234375,26502.720703125,33688.51953125,51920.640625,54413.890625,47055.19140625,64843.3359375,87836.5546875,90774.890625,101295.8203125,89081.3671875,23443.240234375,0.0,0.0,10695.23046875,254543.671875,138006.3125,48012.76953125,,
SPINACH,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,4.0,25.0,33.0,39.0,27.0,43.0,13.0,0.0,0.0,0.0,0.0,2.0,33.0,31.0,28.0,16.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,1955.0500030517578
SPROUTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,7.0,5.0,5.0,9.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,710.0
