Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,132,160,160,186,161,41,0,0,0,0,0,0,894,8940,0,8940,1,0
Beef fillet (chemical free) - frozen,Beeffilletchemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,16,19,18,11,36,1,0,0,0,0,0,0,0,128,8865,7077,1788,0.201692,0
Raw almonds - shelled,AlmondsRawShelled,,NGS,Auf,Nuts,,0,0,0,0,0,0,0,0,3,18,13,15,12,11,14,15,3,13,11,14,11,4,4,9,4,8,11,6,12,22,15,18,25,5,0,0,0,0,0,0,296,8769.805,6297.91,2471.895,0.281864,0
Beef cutlets,BeefKolata,,NGS,Butcher,Fresh beef,,0,0,0,0,0,0,0,0,8,12,8,7,2,7,8,4,1,5,3,2,8,8,5,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,8685.3,6230,2455.3,0.282696,0
Hurom slow juicer,Huromslowjuices,,Hurom,Hurom,Accessories,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,8550,6993,1557,0.182105,0
Brown rice Penne ( American ) - gluten free - organic,00610-2,,Lundberg Family Farms,HV,Pasta,,0,0,0,0,0,0,0,0,0,10,6,7,6,7,6,1,0,12,8,4,5,5,4,2,4,11,6,0,0,19,29,11,12,4,0,0,0,0,0,0,179,8396.15,6534.26,1861.89,0.221755,0
Raw pecan,PecanRaw,,NGS,Auf,Nuts,,0,0,0,0,0,0,0,0,2,4,9,7,11,6,6,6,0,5,1,11,5,2,1,2,2,4,1,1,5,16,8,8,10,1,0,0,0,0,0,0,134,8386.73,6125.08,2261.65,0.26967,0
Granola with fruits and seeds ( gluten free ),221004,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,6,0,216,8361.944,5922.78,2439.164,0.291698,0
Balady eggs ( chemical free ),Eggbaldy,,NGS,Sara nour,Eggs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,34,42,39,36,23,10,15,69,88,11,0,0,0,0,0,0,386,8299,6562,1737,0.209302,0
Dried blueberries,DriedBlueberries,,NGS,Auf,Dried fruits,,0,0,0,0,0,0,0,0,2,8,15,5,10,5,6,6,2,19,7,11,8,3,4,9,6,0,6,0,2,4,6,4,2,0,0,0,0,0,0,0,150,8205.23,5648.97,2556.26,0.31154,0
Cairo,Cairo,,Freight,Freight,General,,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,78,81,112,96,100,14,0,0,0,0,0,0,537,8015,0,8015,1,0
Skinny oats with berries and green tea extract ( for weight loss ),221018,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,251,102,441,7911.425863,5416.38,2495.045863,0.315372,0
