Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Pumpkin Seeds,291013,,,IMN,Seeds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,216,140,76,0.351852,0
Cherries,Cherries,,NGS,Agrovate,Fresh fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,18,216,163.08,52.92,0.245,0
Sweet peach,Peach,,NGS,Agrovate,Fresh fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,18,0,0,0,0,0,0,0,0,0,0,27,216,157.95,58.05,0.26875,0
Granola bars (trail mix),281092,,,HV,Snacks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,216,156,60,0.277778,0
Dried Currants,DriedCurrants,,NGS,Abu Auf,Dried Fruits & Nuts,,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,215.72,149.84,65.88,0.305396,0
Veal kidney,Vealkidney,,Kheir Misr,Butcher,Fresh Beef & Poultry,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,214.5,110,104.5,0.487179,0
Red grapes,Redgrapes,,NGS,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,213.15,161.7,51.45,0.241379,0
Chemical free lamb leg,Chemicalfreelambleg,,NGS,Obayed butcher,Fresh Beef & Poultry,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.6,200,12.6,0.059266,0
Premium French Sea Salt,105365,,Eden,Health Harvest,Condiments,,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212.15,184.5,27.65,0.130332,0
Organic kukicha twig tea (loose),110665,,"Eden Foods, Inc.",HV,Herbal Drinks,,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,212,180,32,0.150943,0
Almond milk ( organic ),Originalalmondmilk,,Alpro,El_Ansary,Non-dairy milk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,211.5,166.98,44.52,0.210496,0
Nutrition bar with goji berries (natural) - raw,631003,,,Proten nutrition,Snacks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,211.401869,208,3.401869,0.016092,0
Dried soup mix (chemical free),351018,,,Minnie's,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,7,210,131.5,78.5,0.37381,0
Dried Mushroom (chemical free),351013,,,Minnie's,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,210,155.25,54.75,0.260714,0
Dried prunes (chemical free),351017,,,Minnie's,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,210,150,60,0.285714,0
Essiac tea,281054,,,HV,Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,210,0,210,1,0
Green cabbage,Greencabbage,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,1,4,2,0,2,2,0,0,0,1,1,2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,208.94,164.43,44.51,0.213028,0
Yellow cherry tomatoes,Yellowcherrytomatoes,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,208.64,164.43,44.21,0.211896,0
Yellow apples,20036,,,Agrovate,Fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,208,152,56,0.269231,0
Beef mince (chemical free) - frozen,Beefmince,,,El rancho,Chemical free beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,208,154,54,0.259615,0
Green asparagus (chemical free),341016,,,MAKAR,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,208,162.5,45.5,0.21875,0
Brussels sprouts (chemical free),341009,,,MAKAR,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,208,160,48,0.230769,0
Dried Kiwi (chemical free),351011,,,Minnie's,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,6,206.5,153,53.5,0.25908,0
chives,chives,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,6,10,0,10,10,4,0,0,0,0,0,0,52,206,153,53,0.257282,0
Dried soup mix (chemical free),Driedsoupmixchemicalfree,,NGS,Minnie's,Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,0,0,0,0,0,0,13,205,166.67,38.33,0.186976,0
Guiltless oatmeal cookie mix,Guiltlessoatmealcookiemix,,Signature,Signature,Baking mix,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,5,204.75,200,4.75,0.023199,0
Spinach ( chemical free ),Spinach,,NGS,Sara nour,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,40,204,150.5,53.5,0.262255,0
Water melon (chemical free),461035,,,Sara nour,Fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,204,75,129,0.632353,0
Antiseptic cream with tea tree oil,70120,,"Tea Tree Therapy, Inc.",HV,Cosmetics,,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,203.4,172.8,30.6,0.150442,0
Nutmeg,Nutmeg,,Tropical Heat,PRIMA,Spices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,7,203,150.6,52.4,0.258128,0
Organic brown rice syrup,00160-2,,Lundberg Family Farms,HV,Honey & Sweeteners,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202.5,175.5,27,0.133333,0
Date jam with almonds & cloves (natural),241003,,,Green valley,Jam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,200,150,50,0.25,0
Shea butter balm (for hair),541005,,,Bubblzz,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,200,72,128,0.64,0
Coffee & Vanilla body scrub,CoffeeVanillabodyscrub,,Healing Herbs,HEALING HERBS,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,200,160,40,0.2,0
El Sahel El Shamali above 500 L.E,ElSahelElShamaliabove500LE,,Freight,Freight,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,4,200,0,200,1,0
Sweet almond oil,Sweetalmondoil,,Nefertari,Nefrtari,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,5,200,159,41,0.205,0
Puk choi,Pukchoi,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,200,160,40,0.2,0
Gluten free cinnamon raisin bread,1604C224,,Bob's Red Mill,HV,Gluten free baking,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,199,172.8,26.2,0.131658,0
Zucchini,Zucchini,,NGS,Offah,Fresh Produce,,0,0,0,9,8,7,10,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,198.36,152.54,45.82,0.230994,0
Freekeh (cracked) - organic,281085,,,HV,Grains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,198,146.25,51.75,0.261364,0
Original crackers,201004,,,Food stores,Crackers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,198,151.8,46.2,0.233333,0
Buckwheat Noodles,BuckwheatNoodle,,NGS,El_Ansary,Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,198,157.5,40.5,0.204545,0
Apple cinnamon no fat granola,1670C124,,Bob's Red Mill,HV,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,198,162,36,0.181818,0
Canadian Angus beef fillet,canadiantenderloin,,NGS,Red Sea World,Frozen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,197.5,754,-556.5,-2.817722,0
Organic brown rice elbow pasta,00640-9,,,HV,Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,197,80,117,0.593909,0
Mesculun,Mesculun,,NGS,Offah,Fresh Produce,,0,0,0,0,3,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,196.33,151.09,45.24,0.230428,0
Grapefruit,Grapefruit,,NGS,Offah,Fresh Produce,,0,0,0,0,2,7,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,196.33,151.09,45.24,0.230428,0
Organic spaghetti sauce,104020,,"Eden Foods, Inc.",HV,Condiments,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,195,162,33,0.169231,0
Baby potatoes ( Chemical free ),BabypotatoesChemicalfree,,NGS,Bio land,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,0,0,30,194.35,146.4,47.95,0.24672,0
Zucchini (chemical free),Zucchinichemicalfree,,,Tabiey,Chemical free vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,9,0,0,0,0,0,0,22,193.33,148.75,44.58,0.23059,0
Almonds Shell On - Roasted & Salted,AlmondRoastedSaltedinShell-KG,,NGS,Auf,Dried Fruits & Nuts,,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,192.87,164.25,28.62,0.14839,0
Skinny oats with berries and green tea extract ( for weight loss ),221018,,,NGS,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,192,0,192,1,0
Maple syrup (organic),281102,,,NGS,Sweeteners,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,192,0,192,1,0
Frico emmental ( slices),Fricoemmentalslices,,,Seteen,cheese,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,8,192,148.64,43.36,0.225833,0
Rye bread (loaf),401003,,,NGS,Bread,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,192,0,192,1,0
Onions (Awerma),OnionsAwerma,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,7,0,3,1,2,3,2,7,4,0,2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,191.16,160.82,30.34,0.158715,0
Dried Mushroom (chemical free),DriedMushroomchemicalfree,,NGS,Minnie's,Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,7,191,156,35,0.183246,0
Baby yellow zucchini (chemical free),341006,,,MAKAR,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7,190,131.67,58.33,0.307,0
Dried figs ( chemical free ),Minniesdriedfigs,,NGS,Minnie's,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,2,3,0,0,0,0,0,0,0,12,190,152,38,0.2,0
Dark chocolate with green tea and mango ( organic ),Vivanigreenteamango,,Vivani,Egyption business systems,Chocolate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,7,189.5,154,35.5,0.187335,0
Turbinado sugar 881g,281045,,,HV,Sweeteners,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,189,126,63,0.333333,0
Soya chocolate flavour ( organic ),Soyachocolateflavour,,Alpro,El_Ansary,Non-dairy milk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,7,188,149.6,38.4,0.204255,0
Kale (chemical free),kale,,,Tabiey,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,17,187.85,119,68.85,0.366516,0
Molokhyia (chemical free),501025,,,Tabiey,Vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,187.85,144.5,43.35,0.230769,0
Purple Asparagus,PurpleAsparagus,,NGS,Offah,Fresh Produce,,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,186.34,155.26,31.08,0.166792,0
Granola Honey Almond,1273C184,,Bob's Red Mill,Health Harvest,Grains & Cereal,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,186.32,162,24.32,0.130528,0
Bulgur (golden),281063,,,HV,Grains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,186,135,51,0.274194,0
Chives,Chives,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,5,6,0,0,0,3,9,2,9,8,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,185.46,143.22,42.24,0.227758,0
French parsley,Frenchparsley,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,3,6,0,0,0,0,0,0,0,0,0,0,0,27,183.75,135,48.75,0.265306,0
Cuban aubergine,Cubanaubergine,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,5,8,1,1,4,3,1,1,4,0,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,183.13,139.02,44.11,0.240867,0
Lemongrass,Lemongrass,,NGS,Offah,Fresh Produce,,0,0,0,1,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,182.85,140.7,42.15,0.230517,0
Red romaine,Redromaine,,NGS,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,2,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,182.82,144.48,38.34,0.209714,0
White grapes ( chemical free ),Whitegrapeschemicalfree,,NGS,El Hoda,Fresh fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,11,0,0,0,0,0,0,0,0,0,0,0,29,181.25,145,36.25,0.2,0
Frico chevrette (slices),Fricochevreeteslices,,,Seteen,cheese,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,7,180.25,144.2,36.05,0.2,0
Baby radish,Babyradish,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,6,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,180.18,128.76,51.42,0.285381,0
Dried Coconut (Whole sale),DriedCoconutWholesale,,NGS,Abu Auf,Whole sale,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,140,40,0.222222,0
Bataw crackers with spices,Batawcrackerswithspices,,NGS,Nawaya,Bread,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,12,180,144,36,0.2,0
Oily Hair Shampoo(0%chemical),OilyHairShampoo0chemical,,,HEALING HERBS,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,180,144,36,0.2,0
Dry Hair Shampoo (0 chemical),DryHairShampoo0chemical,,,HEALING HERBS,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,180,144,36,0.2,0
Tofu,Tofu,,NGS,Korean Restaurant,Soy Products,,0,0,0,0,5,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,180,54,126,0.7,0
Body butter with white musk and brown sugar,261002,,,HEALING HERBS,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,180,144,36,0.2,0
Dried Coconut (Whole sale),DriedCoconutWholesale,,NGS,Auf,Whole sale,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,140,40,0.222222,0
Lingoberries ( frozen ) ( cranberry ),441005,,,Quatro,Fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,180,129.59,50.41,0.280056,0
Dried Kiwi (Whole sale),DriedKiwiWholesale,,NGS,Abu Auf,Whole sale,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,140,40,0.222222,0
Smelling Fresh Deodrant,SmellingFreshDeodrant,,,HEALING HERBS,Cosmetics,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,180,144,36,0.2,0
El Sherouk & Madinati above 200 L.E,ElSheroukMadinatiabove200LE,,Freight,Freight,General,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,9,180,0,180,1,0
Bob's baking book,B-Book,,Bob's Red Mill,HV,Books,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,162,18,0.1,0
Sea salt ( potugese ) - fine grind 453g,finegrindportugeseseasalt,,,HV,Spices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,180,0,180,1,0
Red iceberg lettuce,Rediceberglettuce,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,14,180,112.51,67.49,0.374944,0
Raisins jam (natural),241021,,,Green valley,Jam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,180,80,100,0.555556,0
Kiwi,Kiwi,,NGS,Offah,Fresh Produce,,0,0,0,0,9,17,5,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,179.82,145.8,34.02,0.189189,0
Raw Wheat Germ (Kheir Misr),140123,,Kheir Misr,IMN,Food supplements,,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,179.42,119,60.42,0.336752,0
Rosemary,Rosemary,,Kheir Misr,Rafic,Fresh vegetables,,0,0,0,0,0,0,0,0,0,3,2,2,3,1,1,7,1,4,2,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,176.46,123.8,52.66,0.298425,0
Mango (Hindi senara),MangoHindisenara,,NGS,Kouki,Fresh Produce,,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,175,105,70,0.4,0
Baby yellow zucchini,Babyyellowzucchini,,NGS,MAKAR,Fresh vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,175,138,37,0.211429,0
Mosquito Repelant Oil,MosquitoRepelantOil,,NGS,Nefertari,Cosmetics,,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,174,131.19,42.81,0.246034,0
cocoa wafer cacao ( gluten free ),301005,,,international company,Snacks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,174,138.6,35.4,0.203448,0
Beef cubes (chemical free) - frozen,151001,,,El rancho,Beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,174,0,174,1,0
Rotini ( gluten free ) - Italian,191010,,,Farmex,Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,174,126,48,0.275862,0
Celery (chemical free),501009,,,Tabiey,Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,31,172.1,131.75,40.35,0.234457,0
Agar Agar flakes (hand harvested) - wild,281088,,,HV,Food supplements,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,172,127.5,44.5,0.258721,0
