Product,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Revenue
BEEFCUBESCHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.0,980.0,735.0,490.0,1029.0,2131.0,1150.0,348.0,0.0,0.0,174.0,2494.0,2790.0,429.175097,13815.175097
AVOCADO,330.24,206.4,330.24,454.08,41.28,885.5,808.5,1155.0,654.5,1273.66,1073.28,336.71,519.72,996.13,563.03,822.89,341.115673,389.79,308.24,405.0,630.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13411.805673
BEEFMINCECHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,575.0,1260.0,2025.0,1755.0,1665.0,3000.0,480.0,116.0,0.0,0.0,0.0,220.0,1320.0,55.0,13149.0
BENCHPRESSOATSWITHAPPLEANDCINNAMONWITHWHEYPROTEIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,280.0,120.0,80.0,140.0,60.0,0.0,0.0,0.0,0.0,0.0,96.0,4021.12,5845.44,1762.3995940000002,12820.959594
UNSWEETENEDALMONDMILK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,2222.0,998.7,350.0,35.0,0.0,0.0,35.0,3675.0,3450.0,831.25,12476.95
CAIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,1170.0,1215.0,1680.0,1440.0,1500.0,210.0,0.0,0.0,90.0,2445.0,1050.0,705.0,12225.0
CHIASEEDSORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,525.0,0.0,0.0,0.0,5567.952,4763.104,686.0,11843.056
BEEFMINCENOFATCHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5684.0,3491.4,2589.730653,11765.130653
PUREOATSGLUTENFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,560.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,6518.324,2437.69,407.1,11657.114
MUESLIWITHQUINOAAMARANTHAPPLESEEDSANDNUTSGLUTENFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,300.0,180.0,174.0,696.4,294.0,0.0,0.0,0.0,0.0,0.0,0.0,3382.285,4682.125,1379.3747449999996,11508.184745
