Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Veal Escalope (Biftek) / 1kg,VealEscalope,,NGS,Butcher,Fresh veal,,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,9.000000,8.000000,6.000000,7.000000,12.000000,5.000000,5.000000,19.000000,8.000000,3.000000,8.000000,12.000000,4.000000,4.000000,8.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,136.000000,14144.000000,10845.000000,3299.000000,0.233244,0.000000
Avocado,Avocado,,Kheir Misr,Rafic,Fresh fruits,,0.000000,0.000000,0.000000,0.000000,9.000000,23.000000,21.000000,30.000000,17.000000,36.000000,32.000000,8.000000,12.000000,23.000000,13.000000,19.000000,8.000000,9.000000,7.000000,9.000000,14.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.000000,12049.565673,10095.110000,1954.455673,0.162201,0.000000
Beef Mince / 1kg,BeefMince,,NGS,Butcher,Fresh beef,,0.000000,0.000000,0.000000,0.000000,3.000000,16.000000,11.000000,15.000000,11.000000,15.000000,16.000000,7.000000,1.000000,11.000000,5.000000,6.000000,9.000000,7.000000,9.000000,5.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.000000,11978.320000,9229.860000,2748.460000,0.229453,0.000000
Beef mince - no fat (chemical free) - frozen,151006,,,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.000000,58.000000,42.000000,198.000000,11765.130653,8363.530000,3401.600653,0.289126,0.000000
Bench press oats with apple and cinnamon ( with whey protein ),221001,,,Good life,Cereal,High performance,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,190.000000,293.000000,103.000000,590.000000,11724.959594,7325.010000,4399.949594,0.375264,0.000000
Osool begawi chicken ( frozen ),Chemicalfreechicken,,NGS,Nawaya,Chemical free poultry ,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,51.000000,108.000000,77.000000,38.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,298.000000,11026.000000,10025.340000,1000.660000,0.090755,0.000000
Chia seeds (organic),221002,,,Good life,Seeds,"Super food, Weight loss, Organic",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.000000,62.000000,7.000000,135.000000,11017.056000,6004.740000,5012.316000,0.454960,0.000000
Beef mince (chemical free) - frozen,Beefmincechemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,11.000000,28.000000,45.000000,39.000000,37.000000,64.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,236.000000,10970.000000,7262.100000,3707.900000,0.338004,0.000000
"Muesli with mixed berries, oat flakes, and seeds (organic)",221008,,,Good life,Cereal,Organic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,66.000000,107.000000,38.000000,213.000000,10616.074745,7032.960000,3583.114745,0.337518,0.000000
Quinoa (white) - organic,Quinoa,,Bob's Red Mill,Auf,Grains,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,1.000000,80.000000,26.000000,25.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149.000000,10419.410000,10480.190000,-60.780000,-0.005833,0.000000
Whole chicken,80005,,,Butcher,Poultry,Fresh,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,146.000000,76.000000,28.000000,250.000000,10369.500000,8018.530000,2350.970000,0.226720,0.000000
Avocadoes ( imported ),ImportedAvocadoes,,NGS,Agrovate,Fresh fruits,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,22.000000,25.000000,48.000000,54.000000,56.000000,73.000000,46.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.000000,9742.300000,7457.800000,2284.500000,0.234493,0.000000
"Muesli with quinoa, amaranth, apple, seeds and nuts ( gluten free )",221009,,,Good life,Cereal,"High performance, gluten free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.000000,89.000000,42.000000,192.000000,9443.784745,6977.040000,2466.744745,0.261203,0.000000
Almond milk ( organic ) / 946ml,065009PacificOrg,,Pacific Natural Foods,HV,Non-dairy milk,,0.000000,0.000000,0.000000,0.000000,3.000000,40.000000,20.000000,40.000000,41.000000,46.000000,9.000000,0.000000,0.000000,57.000000,30.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.000000,9418.840000,7723.400000,1695.440000,0.180005,0.000000
Pure oats ( gluten free ),221015,,,Good life,Cereal,gluten free,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,158.000000,61.000000,9.000000,228.000000,9363.114000,5872.800000,3490.314000,0.372773,0.000000
Kale / Default,Kale,,NGS,MAKAR,Fresh vegetables,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,64.000000,52.000000,50.000000,89.000000,42.000000,53.000000,45.000000,59.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,476.000000,9203.000000,7140.000000,2063.000000,0.224166,0.000000
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.000000,132.000000,160.000000,160.000000,186.000000,161.000000,41.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,894.000000,8940.000000,0.000000,8940.000000,1.000000,0.000000
Beef fillet (chemical free) - frozen,Beeffilletchemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,25.000000,16.000000,19.000000,18.000000,11.000000,36.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.000000,8865.000000,7077.000000,1788.000000,0.201692,0.000000
Raw almonds - shelled / 250g,AlmondsRawShelled,,NGS,Auf,Nuts,,0.000000,0.000000,0.000000,0.000000,3.000000,18.000000,13.000000,15.000000,12.000000,11.000000,14.000000,15.000000,3.000000,13.000000,11.000000,14.000000,11.000000,4.000000,4.000000,9.000000,4.000000,8.000000,11.000000,6.000000,12.000000,22.000000,15.000000,18.000000,25.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296.000000,8769.805000,6297.910000,2471.895000,0.281864,0.000000
Beef cutlets / 1kg,BeefKolata,,NGS,Butcher,Fresh beef,,0.000000,0.000000,0.000000,0.000000,8.000000,12.000000,8.000000,7.000000,2.000000,7.000000,8.000000,4.000000,1.000000,5.000000,3.000000,2.000000,8.000000,8.000000,5.000000,17.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.000000,8685.300000,6230.000000,2455.300000,0.282696,0.000000
Hurom slow juicer,Huromslowjuices,,Hurom,Hurom,Accessories,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,8550.000000,6993.000000,1557.000000,0.182105,0.000000
Brown rice Penne ( American ) - gluten free - organic / 340g,00610-2,,Lundberg Family Farms,HV,Pasta,,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,6.000000,7.000000,6.000000,7.000000,6.000000,1.000000,0.000000,12.000000,8.000000,4.000000,5.000000,5.000000,4.000000,2.000000,4.000000,11.000000,6.000000,0.000000,0.000000,19.000000,29.000000,11.000000,12.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179.000000,8396.150000,6534.260000,1861.890000,0.221755,0.000000
Raw pecan / 250g,PecanRaw,,NGS,Auf,Nuts,,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,9.000000,7.000000,11.000000,6.000000,6.000000,6.000000,0.000000,5.000000,1.000000,11.000000,5.000000,2.000000,1.000000,2.000000,2.000000,4.000000,1.000000,1.000000,5.000000,16.000000,8.000000,8.000000,10.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,134.000000,8386.730000,6125.080000,2261.650000,0.269670,0.000000
Granola with fruits and seeds ( gluten free ),221004,,,Good life,Cereal,gluten free,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,210.000000,6.000000,0.000000,216.000000,8361.944000,5922.780000,2439.164000,0.291698,0.000000
Balady eggs ( chemical free ),Eggbaldy,,NGS,Sara nour,Eggs,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,17.000000,34.000000,42.000000,39.000000,36.000000,23.000000,10.000000,15.000000,69.000000,88.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,386.000000,8299.000000,6562.000000,1737.000000,0.209302,0.000000
Dried blueberries / 250g,DriedBlueberries,,NGS,Auf,Dried fruits,,0.000000,0.000000,0.000000,0.000000,2.000000,8.000000,15.000000,5.000000,10.000000,5.000000,6.000000,6.000000,2.000000,19.000000,7.000000,11.000000,8.000000,3.000000,4.000000,9.000000,6.000000,0.000000,6.000000,0.000000,2.000000,4.000000,6.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.000000,8205.230000,5648.970000,2556.260000,0.311540,0.000000
Skinny oats with berries and green tea extract ( for weight loss ),221018,,,Good life,Cereal,Weight loss,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.000000,251.000000,113.000000,452.000000,8175.425863,5548.050000,2627.375863,0.321375,0.000000
Unsweetened almond milk,281046,,,HV,Non-dairy milk,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,105.000000,102.000000,24.000000,232.000000,7991.250000,6175.750000,1815.500000,0.227186,0.000000
Cairo,Cairo,,Freight,Freight,General,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.000000,78.000000,81.000000,112.000000,96.000000,100.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,529.000000,7935.000000,0.000000,7935.000000,1.000000,0.000000
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,General,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,447.000000,206.000000,99.000000,768.000000,7908.049652,0.000000,7908.049652,1.000000,0.000000
Oat milk ( organic ) / 946ml,065702PacificOrg,,Pacific Natural Foods,HV,Non-dairy milk,,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,13.000000,18.000000,23.000000,21.000000,22.000000,1.000000,4.000000,22.000000,26.000000,12.000000,6.000000,1.000000,0.000000,0.000000,7.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.000000,7588.750000,6125.950000,1462.800000,0.192759,0.000000
Beef cubes (chemical free) - frozen,Beefcubeschemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,20.000000,15.000000,10.000000,21.000000,43.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.000000,7580.000000,5176.000000,2404.000000,0.317150,0.000000
Beef fillet (chemical free) - frozen,151003,,,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,26.000000,17.000000,30.000000,75.000000,7025.361809,5125.500000,1899.861809,0.270429,0.000000
Maple syrup (organic),281102,,,HV,Sweeteners,"Organic, Sweeteners",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,46.000000,20.000000,3.000000,70.000000,6687.098412,4987.500000,1699.598412,0.254161,0.000000
Whey protein / 340g,1289C124,,Bob's Red Mill,HV,Food supplements,,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,1.000000,3.000000,5.000000,1.000000,2.000000,0.000000,1.000000,5.000000,3.000000,1.000000,1.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,2.000000,6.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,6597.850000,5433.520000,1164.330000,0.176471,0.000000
Muesli with branberry and strawberries ( organic ),221005,,,Good life,Cereal,Organic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.000000,109.000000,43.000000,214.000000,6456.386414,4670.000000,1786.386414,0.276685,0.000000
Raw cashew nut / 250g,Cashewnutraw,,NGS,Auf,Nuts,,0.000000,0.000000,0.000000,0.000000,2.000000,9.000000,15.000000,6.000000,8.000000,12.000000,11.000000,11.000000,2.000000,10.000000,5.000000,13.000000,4.000000,5.000000,4.000000,4.000000,2.000000,3.000000,4.000000,2.000000,8.000000,15.000000,12.000000,10.000000,9.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,188.000000,6453.600000,4621.950000,1831.650000,0.283818,0.000000
Chicken Breasts / 1kg,ChickenBreasts,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,15.000000,41.000000,46.000000,33.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,138.000000,6326.400000,5040.000000,1286.400000,0.203338,0.000000
Apple cider vinegar ( organic ) / 473g,103480,,"Eden Foods, Inc.",HV,Vinegar,,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,1.000000,7.000000,4.000000,3.000000,6.000000,0.000000,0.000000,0.000000,6.000000,6.000000,1.000000,9.000000,3.000000,0.000000,0.000000,12.000000,7.000000,8.000000,5.000000,9.000000,31.000000,25.000000,23.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,176.000000,6313.100000,4485.560000,1827.540000,0.289484,0.000000
Hurom slow juicer,271001,,,Hurom,Home appliance,Kitchen equipment,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,2.000000,6250.000000,4662.000000,1588.000000,0.254080,0.000000
Goji berries,221003,,,Good life,Dried fruits,Super food,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,36.000000,66.000000,7.000000,112.000000,6030.571959,3784.600000,2245.971959,0.372431,0.000000
Brown rice spaghetti ( American ) - gluten free - organic / 284g,00620-1,,Lundberg Family Farms,HV,Pasta,,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,6.000000,6.000000,4.000000,6.000000,5.000000,1.000000,0.000000,2.000000,6.000000,4.000000,2.000000,7.000000,3.000000,2.000000,4.000000,12.000000,11.000000,0.000000,0.000000,5.000000,8.000000,18.000000,9.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.000000,5982.150000,4630.500000,1351.650000,0.225947,0.000000
