Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015
Stevia,281043,,,HV,Sweeteners,"Weight loss, Sweeteners",60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Spanish extra virgin olive oil ( organic ) / 473g,104340,,"Eden Foods, Inc.",HV,Oil,,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Spanish extra virgin olive oil ( organic ) 473g,281041,,,HV,Oil,Oil,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,76.5,85.0
Raspberries ( frozen ),ArdoRasberries,,Ardo,Quatro,Frozen fruits,,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,50.0,49.0,64.945,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Oranges,Oranges,,Kheir Misr,Rafic,Fresh fruits,,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.926363636363636,10.72,11.485,11.74,11.74,11.74,11.739999999999998,11.74,11.74,13.322000000000001,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
spirulina powder / 100g,202149-54,,"Starwest Botanicals,Inc.",HV,Herbal pharmacy,,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
Dried blueberries 250g,40003,,,Auf,Dried fruits,"Dried fruits, Super food",64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,61.44,57.14285714285714
Raw walnut (shelled) 250g,40021,,,Auf,Nuts,Nuts,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,49.6875,48.23
Bananas ( imported ),ImportedBananas,,NGS,Agrovate,Fresh fruits,,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.22222222222222,16.0,16.0,16.0,17.529411764705884,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Organic brown rice elbow pasta / 340g,00640-9,,Lundberg Family Farms,HV,Ricenpasta,,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,46.6875,46.6875,46.6875,47.25,47.25,47.25,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5
Muesli with seeds and nuts - made from scottish oats ( gluten free ),AlaraScottishOatsOrganicGFMuesli,,Alara,Good life,Cereal,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,52.5,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8
Raw sunflower seed ( shelled ) 566g,281034,,,HV,Seeds,Seeds,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,65.0,61.304860142857144
"Muesli with quinoa, amaranth, apple, seeds and nuts ( gluten free )",AlaraITGActiveOrg,,Alara,Good life,Cereal,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,58.03333333333333,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8
Colored bell pepper ( Chemical free ),ExportorganicColoredbillpepper,,NGS,El Hoda,Chemical free vegetables,,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.625,16.0,16.0,16.0,16.0,16.0,16.5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
pancake mix ( gluten free ) / 623g,1610C224,,Bob's Red Mill,HV,Flour,,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,49.75,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,52.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Extra virgin sesame oil ( organic ) / 473ml,104640,,"Eden Foods, Inc.",HV,Oil,,87.9,87.9,87.9,87.9,87.9,87.9,87.89999999999998,87.9,87.9,87.9,87.9,87.9,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Kiwi,Kiwi,,Kheir Misr,Rafic,Fresh fruits,,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.9974747474747476,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.3600000000000003,2.36,2.3600000000000003,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36
Veal Escalope (Biftek) / 1kg,VealEscalope,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,102.0,102.0,101.98,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9
American green apples,Americangreenapples,,Kheir Misr,Rafic,Fresh vegetables,,29.564285714285717,29.564285714285717,29.564285714285717,29.564285714285717,29.564285714285717,29.564285714285717,32.19,32.19,32.190000000000005,29.51571428571429,28.03,28.03,26.03,26.03,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Pigeon,Pigeon,,NGS,Butcher,Fresh Beef & Poultry,,34.8,34.8,34.8,34.8,34.8,34.800000000000004,34.800000000000004,34.8,34.8,34.8,34.8,34.8,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.8,34.8,34.8,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004,34.800000000000004
Quinoa (Chemical free) - Local,231001,,,GL,Grains,"Super food, Organic, Whole grain, High performance",48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
Coconut flour,281014,,,HV,Baking products,"gluten free, Flour",85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,81.13636363636364,76.5
Tomatoes,Tomatoes,,Kheir Misr,Rafic,Fresh vegetables,,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9,2.9,2.9,2.9,2.6323333333333334,3.17,3.17,3.17,3.17,3.1700000000000004,3.1699999999999995,3.132606428571429,3.1700000000000004,3.1699999999999995,3.17,3.972,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
cucumber,cucumber,,Kheir Misr,Rafic,Fresh vegetables,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.8012820512820507,3.0,3.2321428571428568,4.75,4.75,4.75,4.75,4.731021612903225,4.75,4.75,4.75,4.483333333333333,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
Blueberries ( frozen ),Blueberriesfrozen,,Ardo,Quatro,Frozen fruits,,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
El Katameya / Fifth settlement,ElKatameyaFifthsettlement,,Freight,Freight,Delivery,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Green asparagus / Default,Greenasparagus,,NGS,MAKAR,Fresh vegetables,,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Dried cranberry 200g,40004,,,Auf,Dried fruits,"Dried fruits, Super food",53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,51.23333333333333,53.0
Muesli with goji berries and cranberries ( gluten free ),AlaraITGGFwithGojiCranberriesOrg,,Alara,Good life,Cereal,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,61.69230769230769,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8
Beef Mince / 1kg,BeefMince,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4
Flax oil,Flaxoil,,Flax usa,HV,Oil,,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,68.25,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
Red grapes - seedless(chemical free),Redgrapes-seedlesschemicalfree,,NGS,Sara nour,Fresh fruits,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Spinach,Spinach,,Kheir Misr,Rafic,Fresh vegetables,,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6.684186046511628,7.27,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Red plums,Redplums,,Kheir Misr,Rafic,Fresh fruits,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17.169999999999998,17.169999999999998,17.81,18.45,18.45,18.45,18.45,18.45,18.214285714285715,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8
Pineapple,Pineapple,,Kheir Misr,Rafic,Fresh fruits,,23.0,23.0,23.0,23.0,23.0,23.0,27.6,27.6,27.6,27.6,28.62,29.301666666666666,32.71,32.71,35.30000000000001,35.30000000000001,35.30000000000001,35.3,35.3,35.3,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75
Flax oil,281023,,,HV,Oil,Oil,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,59.88,69.0
Pure oats ( gluten free ),AlaraEverydayPureOatsGF,,Alara,Good life,Cereal,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Beef Liver / 1kg,BeefLiver,,NGS,Butcher,Fresh beef,,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.60000000000002,81.6,81.6,81.6,81.6,81.6,81.6,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
osso bucco,ossobucco,,Kheir Misr,Butcher,Fresh Beef & Poultry,,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
Medjoul dates,40011,,,Auf,Dried fruits,Dried fruits,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Coconut oil ( Small glass jar ),281015,,,HV,Oil,"Super food, Weight loss, Oil",118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,98.1818181818182,100.0
Psyllium seeds / 300g,140168,,NGS,IMN,Food supplements,,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.2,31.2,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,30.0,30.0,30.0,27.66666666666667,27.66666666666667,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Dried apricots / 250g,DriedApricots,,NGS,Auf,Dried fruits,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,15.0,15.0,15.0,15.081818181818182,15.3,15.3,15.3,15.3,15.3,15.3,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,15.0,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36
Granola with fruits and seeds ( gluten free ),AlaraCrunchyOatsGFGranola,,Alara,Good life,Cereal,,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
Peanut butter (home-made),Homemadepeanutbutter,,Signature,Signature,spreads,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Quinoa flour (gluten free),281069,,,HV,Baking products,"Organic, Whole grain, gluten free, Flour, super foods",168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,142.8
Cookies with wheat germ,Cookies,,NGS,Enan,Cookies,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.525,19.0,19.0,17.52857142857143,18.1,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Potatoes,Potatoes,,Kheir Misr,Rafic,Fresh vegetables,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.974444444444446,5.11,5.24421052631579,5.62,5.62,8.15,8.15,8.15,8.15,8.149999999999999,8.15,6.321428571428571,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
Cairo delivery fee,Cairodeliveryfee,,Freight,Freight,General,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kofta / 1kg,Kofta,,Kheir Misr,Butcher,Fresh Beef & Poultry,,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4
Red apples ( American ),RedAmericanApples,,NGS,Agrovate,Fresh fruits,,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,28.875,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
Natural no fat granola / 340g,1669C124,,Bob's Red Mill,HV,Cereal,,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25,47.25
Honey oat granola / 340g,1278C124,,Bob's Red Mill,HV,Cereal,,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,47.25,47.25,47.25,47.25,47.25,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5
Green apples ( French ) -imported,GreenFrenchApples,,NGS,Agrovate,Fresh fruits,,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.0,22.0,22.0,25.125,27.0,27.0,27.865,28.73,28.73,28.73,28.73,28.73,28.73,28.73
Chicken thigh,80003,,,Butcher,Poultry,Fresh,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,27.22727272727273,29.72307692307692,21.985294117647058
Quinoa ( white ) - organic 454g,281056,,,HV,Grains,"Super food, Organic, Whole grain, High performance",105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,93.94444444444444,95.0
Raw milled linseeds (flax seed meal ) - organic,Organicrawmilledlinseedsflaxseeds,,Alara,Good life,Food supplements,,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,39.2,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7
Cherry tomatoes ( chemical free ),Organiccherrytomato,,NGS,Sara nour,Fresh vegetables,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.526315789473687,13.0,13.0,12.964864864864865,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Baby spinach (chemical free),341004,,,MAKAR,Vegetables,"Fresh, Chemical free",8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Short grain brown rice ( organic ) - eco farmed,281039,,,HV,Rice,"Weight loss, Organic, Whole grain, Rice",35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,33.5,36.25
Beef liver ( Chemical free ) - frozen,151005,,,El rancho,Beef,"Frozen, Chemical free, Beef",60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,60.81818181818182,62.707692307692305,68.0
Blackberries ( frozen ),ArdoBlackberries,,Ardo,Quatro,Frozen fruits,,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Wheat germ miracle,Wheatgermmiracle,,Enan,Enan,Food supplements,,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.13125,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Almond meal flour,281082,,,HV,Baking products,"Weight loss, gluten free, Flour",126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,116.16,116.16
Bedouin lamb leg ( Chemical free ),BedouinlamblegChemicalfree,,NGS,Obayed,Chemical free beef,,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
Smoked salmon ( frozen ),Smokedsalmon,,NGS,Souna,Fish,,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
Quinoa (Chemical free) - Local,621001,,,EGY VEGGIE,Grains,"Organic, Whole grain, High performance, super foods",42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,38.016774193548386,42.0
Chocolate chip cookie mix ( gluten free ) / 453g,1615C224,,Bob's Red Mill,HV,Flour,,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,64.5,64.5,64.5,64.5,65.0,65.0,65.0,65.0,60.0,60.0,56.14285714285714,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Raw almonds (shelled) 250g,40017,,,Auf,Nuts,Nuts,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,42.69565217391305,41.8,44.0
