Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015
Beef mince (chemical free) - frozen,Beefmincechemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,52.27272727272727,45.0,45.0,45.0,45.0,46.875,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
"Muesli with mixed berries, oat flakes, and seeds (organic)",221008,,,Good life,Cereal,Organic,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,55.29128787878788,51.78341121495327,33.94801960526316
Quinoa (white) - organic,Quinoa,,Bob's Red Mill,Auf,Grains,,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,91.5,78.13250000000002,57.43269230769231,55.0,57.008571428571436,57.008571428571436,57.008571428571436,57.008571428571436,57.008571428571436,57.008571428571436,57.008571428571436,57.008571428571436,57.008571428571436
Whole chicken,80005,,,Butcher,Poultry,Fresh,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,39.17763157894737,45.0
Avocadoes ( imported ),ImportedAvocadoes,,NGS,Agrovate,Fresh fruits,,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,28.777777777777782,29.0,29.0,29.0,27.50555555555556,27.0,28.97260273972603,29.91304347826087,30.0,30.0,30.0,30.0,30.0,30.0,30.0
"Muesli with quinoa, amaranth, apple, seeds and nuts ( gluten free )",221009,,,Good life,Cereal,"High performance, gluten free",55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,55.44729508196721,52.608146067415724,32.84225583333333
Almond milk ( organic ) / 946ml,065009PacificOrg,,Pacific Natural Foods,HV,Non-dairy milk,,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,33.423508771929825,33.423508771929825,33.423508771929825,33.6,33.6,33.6,33.6,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336
Pure oats ( gluten free ),221015,,,Good life,Cereal,gluten free,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,41.255215189873425,39.962131147540994,45.23333333333333
Kale / Default,Kale,,NGS,MAKAR,Fresh vegetables,,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.7890625,19.0,19.0,19.0,19.0,19.0,20.33333333333333,20.69491525423729,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Beef fillet (chemical free) - frozen,Beeffilletchemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,81.76,63.0,63.0,63.0,63.0,68.25,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Raw almonds - shelled / 250g,AlmondsRawShelled,,NGS,Auf,Nuts,,22.7,22.7,22.7,22.7,22.7,22.700000000000006,22.700000000000006,27.0,27.0,27.0,28.93285714285714,29.46,29.46,29.46,29.60727272727273,30.0,30.90909090909091,35.0,35.0,35.0,35.0,35.25,33.27636363636364,28.51,28.51,28.50977272727273,28.51,28.96,36.3016,37.62,37.62,37.62,37.62,37.62,37.62,37.62
Beef cutlets / 1kg,BeefKolata,,NGS,Butcher,Fresh beef,,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,76.83,77.02499999999998,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
Hurom slow juicer,Huromslowjuices,,Hurom,Hurom,Accessories,,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0
Brown rice Penne ( American ) - gluten free - organic / 340g,00610-2,,Lundberg Family Farms,HV,Pasta,,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,47.0625,47.0625,47.25,47.25,47.25,49.5,49.5,49.5,49.0,49.0,49.0,49.0,49.0,49.0,49.0,46.99545454545455,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
Raw pecan / 250g,PecanRaw,,NGS,Auf,Nuts,,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.13999999999999,49.13999999999999,57.82,66.5,65.17,65.17,66.5,72.5,72.5,72.5,72.5,72.5,72.5,75.625,78.0,64.5,64.5,64.5,64.5,66.875,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
