Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
BEET ROOT POWDER,0,Food supplements,2015-08-01,44.0,14.0,9.595822638521724,27.596580275056393,7.018180397764071,0.0019544969717483975,59.440044967347276,0.002445350417504442
BEET ROOT POWDER,0,Food supplements,2015-09-01,44.0,14.0,9.595822638521724,27.596580275056393,7.018180397764071,0.0019544969717483975,59.440044967347276,0.002445350417504442
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,2013-01-01,42.0,6.0,5.508619131643,27.596580275056393,7.018180397764071,0.0018656562003052885,52.19277019610421,0.001048007321787618
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,2013-04-01,42.0,6.0,5.508619131643,27.596580275056393,7.018180397764071,0.0018656562003052885,52.19277019610421,0.001048007321787618
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,2013-06-01,84.0,12.0,5.508619131643,27.596580275056393,7.018180397764071,0.003731312400610577,204.3855403922084,0.002096014643575236
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,2013-10-01,42.0,6.0,5.508619131643,27.596580275056393,7.018180397764071,0.0018656562003052885,52.19277019610421,0.001048007321787618
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,2014-01-01,42.0,6.0,5.508619131643,27.596580275056393,7.018180397764071,0.0018656562003052885,52.19277019610421,0.001048007321787618
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,2014-06-01,44.0,8.0,5.508619131643,27.596580275056393,7.018180397764071,0.0019544969717483975,59.440044967347276,0.0013973430957168241
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,2014-08-01,44.0,8.0,5.508619131643,27.596580275056393,7.018180397764071,0.0019544969717483975,59.440044967347276,0.0013973430957168241
BEETROOT,NGS,Fresh vegetables,2014-05-01,23.7,7.2,14.490923569598225,27.596580275056393,7.018180397764071,0.0010527631416008413,-14.11979396076977,0.0012576087861451415
BEETROOT,NGS,Fresh vegetables,2014-06-01,48.0,15.0,14.490923569598225,27.596580275056393,7.018180397764071,0.002132178514634615,73.93459450983339,0.002620018304469045
BEETROOT,NGS,Fresh vegetables,2014-07-01,64.0,20.0,14.490923569598225,27.596580275056393,7.018180397764071,0.002842904686179487,131.91279267977785,0.00349335773929206
BEETROOT,NGS,Fresh vegetables,2014-08-01,64.0,20.0,14.490923569598225,27.596580275056393,7.018180397764071,0.002842904686179487,131.91279267977785,0.00349335773929206
BEETROOT,NGS,Fresh vegetables,2014-09-01,236.0,73.75,14.490923569598225,27.596580275056393,7.018180397764071,0.010483211030286859,755.1784230066808,0.012881756663639471
